,distinct_id,locationSetting,notificationSettings,active_timespan,average_session_time,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned
174930,0470D116-93DC-4B7B-914B-312E91F2E683,1,0,72.43130787037038,42.0,1,0,1,0,1,13,0.07222222222222222,1,0,0,0,0,0,0,0.0,1
3249,047D8702-B91F-4C66-88A8-3F65FF4795E7,1,0,0.33393518518518517,24.5,1,0,1,0,1,10,0.05555555555555555,0,1,0,0,0,0,0,0.0,1
109296,04844774-DB09-4940-A379-F0FDF2540C30,1,0,27.695925925925927,42.81818181818182,1,0,1,0,1,1,0.005555555555555556,1,0,0,0,0,0,0,0.0,1
107360,048917b2-fefe-47e6-98c8-98beb57ff4c8,1,1,0.0009490740740740741,,1,0,1,0,0,4,0.022222222222222223,0,0,0,0,0,1,0,0.0,1
102894,04915AF8-FB65-405D-B203-58970D06B894,1,0,0.3353009259259259,83.0,1,0,1,0,1,28,0.15555555555555556,0,0,1,0,0,0,0,0.0,0
61210,04975555-C3A8-4793-8F93-A5AE939EC81B,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
34288,049C82B9-F31E-4703-A743-14CF80C409B7,1,1,174.70207175925927,34.0,1,0,1,0,1,11,0.06111111111111111,1,0,0,0,0,0,0,0.0,0
171191,049F3D21-FBC2-4199-8B70-16849F1C2606,1,0,342.43032407407406,72.0,1,0,1,0,1,23,0.12777777777777777,0,0,1,0,0,0,0,0.0,0
77139,04AA1F64-A821-4109-9BB1-FA2BC2BF6AFD,1,0,0.33371527777777776,27.0,0,0,1,0,1,8,0.044444444444444446,0,0,0,1,0,0,0,0.0,1
107572,04ADA4C3-9212-49DA-B600-67A8403D69C3,1,0,221.4773148148148,50.73333333333333,1,0,1,0,1,79,0.4388888888888889,0,0,1,0,0,0,0,0.0,0
74582,04AE0F35-33F1-4001-BBAE-1B38ADA21BE8,1,0,0.2916666666666667,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
28512,04B4C0D7-8175-4112-BF7F-B001ECD07DB0,1,0,8.682986111111111,97.5,1,0,1,0,1,27,0.15,1,0,0,0,0,0,0,0.0,0
